"name","review","vote","overall","story","cast","music","rewatch"
"Sylvia","After watching the Japanese version, it's about time I rewatched the Korean one. God, why did I even decide to do this.As I commented on the Japanese version, I really hate the plot. Ha Ni states she's loved Seung Jo for years even though she's never talked to him. Yeah, that's completely normal if you ask me. Seriously, she's so shallow because she loves him only for his looks in my opinion, considering they haven't even talked to each other before. But of course that's true love. It cannot not be true.Seung Jo, the cold-hearted jerk. However, now that I've watched the Japanese version, I got to admit that Seung Jo has more human emotions and reactions to him than Naoki. The latter is just emotionless and souless while Seung Jo shows his feelings quite often. Well, at least he tries to show them. Kim Hyeon Jung's acting is so bad that we can't really read anything from his facial expressions besides the usual poker face. And he insults Ha Ni less than Naoki insults Kotoko. But he's still a jerk as he sometimes gives Ha Ni false hopes, making her believe that he might actually be interested in her. And I swear he has a multiple personality disorder mixed with mood swings. Say what you want, but that shiet ain't normal.Now, moving on to stupid Ha Ni who deserves all this emotional mess as a punishment for her stupidity.First of all, oh my fcking God, I don't know if it's the actress's habit, or if she just wanted to make Ha Ni seem cute, but I hated it when she sticked out her tongue, slightly biting on it. Like Jesus fckign Christ, what the hell is that supposed to be? Girl, you're not cute so stop. Stop it before I cut your tongue off.Basically, Ha Ni is an imbecile with a soft-headed expression on her face. Well, at least she has some facial expressions, unlike particular someone. Though a miracle has happened because Ha Ni is less of a pain in the aß than Kotoko. But still not bearable.Also, I hated the relationship between Ha Ni and Bong Jun Gu in this version. In the Japanese version, Kotoko and Kinnosuke are good friends, so it's understandable why he's fallen for her. However, in this version, Jun Gu seems like a creepy stalker who just won't leave Ha Ni alone even though he's clearly a burden to her. Seems like Korea is afraid of showing a friendly skinship between a male and a female friends. As if boys and girls couldn't be just friends who aren't afraid of touching each other in a friendly manner.As for the relationship between Baek Seung Jo and Yun He Ra, I just want to say that Ha Ni needs to get her shiet together and stop being a jealous moron. It's none of her business who he's dating considering the guy she ""loves"" shows no interest in here. So girl, stop trying to ruin his good relations with He Ra just because you're overly obsessed with the guy.Do I even have to mention that the ending is so out of place and awkward?And I laughed so hard at the script writers for desperately trying to give Bong Jun Gu some consolation. But I appreciate their good intentions though.Overall, don't watch this drama, it's horrible.Seriously just don't do it.","7","1.0","1.0","3.0","5.0","1.0"
"0003423asfsas","Okay so I wasn't overly impressed on this version of Itazura na Kiss at all.There was only one thing I liked about it which was the soundtrack as it went pretty well to the entire drama.The things I honestly didn't like the most was that;1. The acting was bad, as they didn't seem realistic enough to the parts they played like you know when acting is good because when it gets to a heart feeling part it either makes you cry or you get sudden butterflies, you know? I never had any of those feelings between the two main characters.2. They missed out on the best parts of the Manga. (not going to spoil which parts so if you haven't seen it and you watch it and you've already read the manga before you'll understand what I mean).3. The actors could not get into their character's personalities, as for example the J vers of Naoki Irie was a lot better as he could relate really well to the character as he did the same major in university as Naoki did and had the same attitude he did and also looked overall like an actual genius,  with the character from this story he didn't look smart and a well known genius so it made the part look really poor and bad.& 4. The actors they also picked looked nothing alike to the manga version as that is probably not as important to some people but to me it is, I mean if they looked somewhat similar i would of been somewhat more satisfied on that part but nope they looked nothing alike whatsoever which was highly disappointing for me considering I'm a huge manga geek and I've read Itazura na Kiss that many times I've lost count.But overall I was highly disappointed in this drama, I would not recommend it to anyone.","3","1.0","1.0","1.0","5.5","1.0"
"Gina911","So....I am very new to this Kdrama genre and I am quickly getting into.  Thank you Netflix.This is obviously a teenage or young adult type drama but I am sucker for great love stories no matter what age group.  I am always the one cheering for the underdog.  The one girl or guy that is out of place and no one expects to win but does.  With that being said.. What the heck is wrong here?I could not stand the way Ha Ni stalked this guy.  He was sooooo mean to her.  He received great pleasure and joy in making her feel bad.  He acknowledge that.  He even acknowledge that to her.  She admits that he is mean but still is madly in love with him.  I don't understand.I watched Good Morning Call and I thought that was bad and no one could possibly be as bad as Nao but boy was I wrong.  Ha Ni has her beat hands down.  I got up to episode 10 and I honestly could not stomach it anymore.  Many times I found myself wanting to through something at the TV or just picking up the TV and smashing it because I couldn't stand it.I want to apologize for not understanding the culture being that I am American.  I am not sure if this type of drama is a representation of how Asian women are in real life.  I cannot understand how any person man or female would allow someone to be blatantly mean and rude to them and find that they are the person that they would want to spend their life with.  It baffles me quite frankly.  The few dramas that I have seen seem to portray the lead actress as weak, dumb and clumsy.  She is has a servant attitude and is ok with made to feel beneath and should show gratitude for them even getting attention.I am not familiar with the actors like everyone else seems to be so I really have no point of reference to their acting abilities.The friends I found unnecessary.  They really did not add anything to this show especially when they got to college.  No one else seemed to have a life outside of Ha Ni.I found the mother's enthusiasm for the relationship a little bizarre and a bit going overboard.Ha Ni is very pretty.  HOWEVER, I hated the way they made her look like an idiot 11 year old even while in college.  They way she dressed and combed her hair.  I understand she was supposed to be pure and fresh and different but does that also mean she has to look like a child?  Realistically, would a normal guy really find this attractive for a long period of time?  And I don't even want to get into her stalking.  I got so annoyed when every time you turn around, she is running after him like a puppy and messes up everything.  What is worse is that he knew about everything all of this time and he showed little sign of changing.  He tortured her and she just kept coming back for more.I have to end here.  Even just writing the review is making me upset and I do not want to break my laptop.","3","1.0","1.0","1.0","3.0","1.0"
"JADE1300","Just as I don't understand why HEART STRINGS did not get higher reviews and higher ratings in Korea when it did so well internationally,  I don't understand why so many people like this drama PLAYFUL KISS.   It's got to be the worst drama ever.  I really tried to get into it and like it, but it just did not have any redeemng qualities.  Not even to watch Kim Hyun Joong, whom I adored in BOY'S OVER FLOWERS.  He was sooo swoon worthy there, cutting the food for  the girl!!! I mean who does that???  However, in this drama, he was just a total jerk from the get go.  I tried to make it through High School and hope that every one matures in college and something sparks between the main couple, but it just dragged on with the male lead being a total ass and the female lead just being a rug with no backbone and no self-esteem.   I just hope young girls don't follow her example.  Wasted my time, so much better dramas to watch.","6","1.5","1.0","2.0","1.0","1.0"
"Dramagirl4ever","This drama has a light and delicate plot.If you think about the plot in depth then its kind of creepy:-A high school girl has an obsession over one boy for 3-4 years.- And stalks him (in a super cute way!)But, that was the great joy of this cute drama. I liked how Oh Ha Ni has/had an honest and pure love.Kim hyun joong's acting was great as always :) His hair and smile are eye catching in this drama.Oh Ha Ni was adorable. Her outfits are to die for!I personally really liked this drama because i could relate to it because it has:-the foreigner that falls for a handsome Korean boy (my dream)-the snobby, extremely handsome, and smart boy that all the girls want  -Oh Ha Ni the girl who is never noticed ( like me! haha)Once you start this drama you won't be able to put it down. After you finish it you will be searching the web for dramas with close story lines.I truly hope you enjoy the drama as much as I did! :)","6","9.0","9.0","8.0","9.0","9.0"
"Hira-M","How I came across the drama: I have seen Itazura na Kiss (anime) and I have loved Kim Hyun Joong for a very long time (since I first saw him in Gummy's MV for As A Man) so when I came to know that Itazura na Kiss had a drama with Kim Hyun Joong in it, I was more than excited to watch it. But I had my expectations low, because as much as I love Kim Hyun Joong, I don't like the story of Itazura na Kiss that much.Story: Even so, I loved the story of the drama! They changed it a little from the anime and I'm so glad they did. Because they removed the stupid plot holes and made it more interesting.Acting and Characters: Kim Hyun Joong did a really great job playing Seung Jo. I hated Ikki (in the anime). It was like he was just using Kotoko, that he didn't really love her. He was just afraid that no one else would love him like she did so he held on to her. And he bullied her way too much. And Kotoko was just waayy too stupid. She got on my nerves. I seriously wanted to slap her hard, then maybe she would've come to her senses. But in the drama, I could see that even though Seung Jo bullied Oh Ha Ni sometimes, he really did love her. And Jung So Min did a good job in playing Ha Ni too because she wasn't as annoying as the anime character (I use ""as annoying"" because girls who desperately run after guys who obviously don't care about them will always be annoying to me). I felt really sorry for Bong Joon Gu! He was more likable than the anime character, and I seriously would've been OK if Ha Ni would've ended up with him. I felt like giving the poor guy a hug. The other characters were nice too but not very memorable. Except Seung Jo's mom. I loved her in the anime and I loved her in the drama too. She was really funny and sweet.Romance: I loved the romance! It was so sweet and nice. I loved seeing Seung Jo's feelings progress. I loved his secret smiles (I ? Kim Hyun Joong's smile)! I especially loved how he was so jealous when Ha Ni was with someone else. It showed that he really did care.Negatives: I don't really have much negatives to point out because I really loved this show. Though there was this one character (I don't remember his name) who was involved with Ha Ni. He had a fight with Bong Joo Gu in the library. But he only appeared for a couple of episodes. I wonder where he disappeared to..Favorite Scene: I have so many favorite scenes, I couldn't possibly list them all over here! But I'll still share a few. Well the first one was when Seung Jo saves Ha Ni from the naked man :P I loved the rain scene! (Who doesn't?!) The balcony scene was the sweetest scene ever! When Seung Jo kisses Ha Ni in the forest when she's asleep ? When they are on their honeymoon and Seung Jo tickles Ha Ni to make her smile (when she's mad at him). And the list goes on...After Marriage: I loved the YouTube specials in which they showed their life after marriage. But I loved 'Seung Jo's Diary' (also on YouTube) more because those showed how much he loved Ha Ni and it was really a peep into his shy soul.All in all: I really loved this drama and if you're into Romantic Comedies you should definitely watch it!","5","8.0","8.0","8.0","7.0","7.0"
"foxx-rain","I LOVE PLAYFUL KISS. If you search the net, there are a lot of people who did not like this drama because of Oh Ha Ni. I admit that she follows Baek Seung Jo around and some might find her annoying, but I find that she acts her age. She's not vindictive, and truly comes off as a kind and loyal person. I loved this drama from the first time I watched it, and when I watched it again, I only loved it more because I noticed some subtle things I didn't notice the first time.Also, I've watched the anime, Itazura na Kiss and I've read most of the volumes of the manga - there is a lot of stuff I wish we could have seen with Playful Kiss! However, I still enjoyed the story :)","5","9.0","7.0","8.0","7.0","9.0"
"Ugly Duckling","I really love this drama!Many people may hate it because of the main actress was too clumsy or that she was pathetic but i don't think so.Yes she was over reacting but that happens in korean dramas a lot of time.It's worth to watch it!It's funny and you can relax while watching it.I rewatched it so many times!I never get bored of it.I think that everyone wish to have a man beside you like Baek Seung Jo.I really like the typical funny and cheesy high school dramas:DIT make you laugh and angry too but mostly you will laugh and yell at some people that are annoying:D","6","10","10","8.5","10","10"
"snow_white","This show is so simple and it's the best thing about it..It is free from all negativity and is one which you can call truly feel good.It has the positive air in each and every episode.Jung so-min has done a very good job in portraying her role..and Kim Hyun Joong is so handsome..all other actors are also very good,especially younger brother of Baek Seung Jo..he is so cute!!I really liked the depiction of relationships in the drama..All in all..a must watch..I have already watched it twice..","6","10","9.0","10","9.0","10"
"darkgarden88","I love this drama! It's my number one favorite drama of all time! I've watched several dramas since this one, but none of them can compare to Playful Kiss. It was sweet, heartwarming, and full of charm. I laughed, and I cried. (I cried both tears of sadness and joy.) I was actually surprised with myself when I cried with Yoon He Ra and Bong Joon Gu. I wasn't expecting to feel  bad for these two, but when they cried, I couldn't help but cry with them. I love Kim Hyun Joong and Jung So Min! They fit into their roles perfectly, and with such ease - the way their characters interacted felt very natural.The only thing I didn't like was *where* it ended. Don't get me wrong, the ending was great! I just meant that I wish there was a second season - there's still more to the story. I really, really, *really* wanted to see Baek Seung Jo get jealous. (Hehe) I also wanted to see Oh Ha Ni in medical school. I really~ wanted to see the story continue.Other than that, I give this drama a perfect 10.","5","10","10","10","10","10"
"rachso","the drama and comedy in tis one was great. i laughed a lot which is probably why i kept on watching it,oh that and the fact that i like kim hyung joong. other than that. No girl. and i repeat nooo girl is this pathetic in the .com error, really a girl can only be rejected did i mention disgraced so many times.while watching it i kept on asking how long will she take it. could she be more pathetic. and she kept on breaking the pathetic limit. i ..... it. fill in the black space cos i don't know!","5","7.0","10","8.0","8.0","5.0"
"Saintrat","Ok! I understand the story does not give any super new twists: a stupid good-for-nothing but optimistic girl likes genius and overall outstanding but gloomy guy, and after annoying him continuosly she grows on him and ta-da!: a happy end- they married. BUT script made this story into a fascinating comedy and actors showed characters developing chemistry. After happyly watching this drama once I rewatched it and still enjoyed it a lot, some time passed and I plan to rewatch it again. SO if you are down or just want to enjoy a light comedy this drama is for you ^_^","5","9.0","6.0","8.0","8.0","10"
"nikhapi","I am actually a fan of the manga where it taken the story from so me liking this series is expected. First of, I was never really into with the whole remaking stuffs so it took me awhile to finally watch this! Secondly, I was also a fan of the second live-action adaptation of the manga so I kinda skeptical if I will really give my time to finally sit down and watch this. So one fine day when I'm feeling like a lost puppy looking for one lost love I decided to give this a try. And I'm really glad I watched this coz it's not bad afterall! I love how light the atmosphere and how beatiful it was shot! Love the chemistry between the leading actors.About the acting aspect, Kim Hyun Joong is not the best actor out there but his role in this drama make him believable unlike his former role in BOF. The role fits his character. As for the rest.. All I can say they did a wonderful job! I think many of this drama viewers did not like the way Hana stalks/love Baek like she doesn't have a life at all but if you follow the manga, she's really like that!Overall, it's a must watch to people who likes watching young romance.","5","7.0","10","6.0","7.0","8.0"
"A7spider","This is the worst drama I have ever wasted my time watching. What the hell kind of message were they trying to send with this? Oh Hani  is one of the dumbest and annoying main characters I have ever seen and in one moment where she is actually likable she ruins it within a few seconds of the same moment. I can't stand that boy she chases after. He is boring and a total dick. I don't understand what is so great about him. The story is god awful, the characters are horrible except for some of the supporting cast and overall I just hated this. The first episode was great but after that it all just goes to hell. I have no idea how I watched all of this. I recommend you watch the Thai version instead. It's much much much better. The main girl is still dumb but a lovable dumb unlike Oh Hani.","3","2.0","3.0","5.5","9.0","1.0"
"maymaymaymay","Out of all the KDramas I've seen that have labeled themselves as rom-coms, ""Playful Kiss"" is the only one I've seen that successfully lives up to that title. It's a cute, breezy watch with a light story and average acting (probably less that average on Kim Hyun-Joong's part). I only watched this because it was a remake of the anime, and I wasn't particularly expecting much. That being said, this drama didn't exceed or fall short of those expectations. It hit them and stayed there.Most people think that Baek Sung-Jo was a overly cold character. I think that coldness came more from Hyun-Joong's acting than from the writers themselves, so I can ignore it. Besides, the character has the same personality in all versions of this drama. That's kind of his personality...I appreciated that part about all the characters. They were all fleshed out differently, and had their unique combinations of flaws and virtues. None of the characters in ""Playful Kiss"" were like the typical KDrama characters.Music: The music here was fitting for the overall tone. Upbeat and full of energy, it helped set the tone of this show. It fit very nicely overall with the series, and made me smile every time one of the songs came on.Overall, this drama was an easy watch. Even if you skimmed through it, the story wouldn't be impacted. It was fun to watch, and a nice attempt at remaking a classic manga, but it was difficult to take seriously.","4","7.0","8.0","7.0","8.0","6.0"
"pjbottomZzz","I thought the leads and the supporting cast performed very well, the characters were very believable and there was very little stretching of the imagination.Ummm...but again, if I were Oh Ha Ni's father there'd be no way in hell I would want my daughter to be with an arrogant, condescending prick like Baek Seung Jo just because he's good looking. I mean, talk about low self-esteem! Wow!","2","3.0","3.0","10","5.0","1.5"
"qwertyu","ok i watched this drama long time ago and was dissapointed. The reason i decided to do review now was bcus i recently watched the anime version and it proved me  that the story isnt as bad as it seems in k drama.Looking back and comparing, I am extremely dissapointed by KHJ's portrayel of Naoki. I liked his acting in the BOF however in this drama his acting was really poor and bcuz of that i hated the main character and the k-drama. After i watched the anime version i dont hate the main male lead (Naoki) that much. KHJ couldnt convey the anime/mangas character very well, didnt capture the depth of the original character and made it seem plain arrogant and thats it, compared to anime version. Overall this adaptation is a failure and i dont recommend it.Anime is much much better (even though i still got annoyed by the main female lead in both versions lool)","2","2.0","5.0","1.0","4.0","1.0"
"Kat MarieC","When I first started watching it i got hooked, a couple days off work and I finished the series in 2 days.I think I watched it so intensity  because I was waiting for somthing to happen between the main characters. My opinion is that seung jo doesn't deserve ha ni, these was hardly no romance between these two. Bits and pieces hardly. I'm sitting here like, let some Btch talk to me like that, let some guy treat me like that, I'd quit the tennis club if I was her. Nothing made sense in the end, he treated her like garbage. Even if that was supposed to be in ""personality"".-spoilers  don't read if you haven't watched the end-The eposide when she got married to seung joke he took her on a honey moon, he let this women hang on him and walked with her. What the hell was that I was so mad I never been so mad about a show. Then when they get home and go to school he meets the girl he was seeing before he decided to marry ha ni. He walks away from his unofficial wife and let's this girl hang off him.In conclusion it wasn't all bad I liked it, but yknow it wasn't great either. I wouldn't watch this or read the manga in that case again.","2","5.0","3.0","9.0","9.0","2.0"
"sprnaturalcraze","This drama leaves a bad taste in my mouth. I had really high hopes for it, because I had heard so many good things about it, but wow. The female lead was just...wow. Absolutely disappointing. A lot of dramas have female leads who depend on the male a bit too much for my taste, but this one takes the cake. Her dream is to follow this guy around. That's it. She is whiney and weak and clingy and just...unable to function without the approval of a guy who throughout the entire series (even after they get together) treats her like crap. And what the heck, Kim Hyun-Joong? I know he can act better than that, but he has exactly one facial expression the whole series. Extremely disappointing.","5","2.0","2.5","2.0","4.0","1.0"
"2hyun Polaris","Almost every korean drama fan seemed to have Playful Kiss on their top ten drama list,when i checked Youtube.so i got pretty excited to watch it.the beginning was really funny and all,but Baek Seung Jo and Oh Ha Ni had absolutely no chemistry.after around episode 8 the story wasn't even funny anymore,it just kept dragging.Plus, Oh Ha Ni was too embarassing to watch.really!i was disappointed and annoyed with the characters.","7","3.0","4.0","5.0","8.0","1.0"
"manicmuse","I am surprised that I liked this drama as much as I did, because I usually can't stand stupid female leads. Jung So Min is so cute that she made her character very likable, in spite of her pitiful behavior. Kim Hyun Joong plays cold/arrogant really well, and I couldn't help liking his character too (his smile is killer!). Together they had an awkward chemistry that I think worked really well. I  also liked the supporting cast of family, friends, and rivals, but Wang Kyung Soo was distracting because he couldn't possibly pass for 21 years old. Lee Tae Sung's Oh Ha Ni-obsessed character was annoying at first, but eventually he started to grow on me, and I was impressed by how different he was from his character in ""Romance Zero"". I absolutely loved the mom as well, who was definitely one of my favorite characters. I started to miss the band after a while too... : )This show basically is about stalking, so if you don't find stalking cute/romantic, then you will probably hate this drama. It takes the opposites attract theory to the extreme, but as the story progressed their relationship started to make more sense. I haven't seen the other versions, or read the manga, so I can't compare it. I wouldn't call Playful Kiss one of my favorites, but it is worth watching.*beware of fan commenting, especially if you are unfamiliar with the story, because they end up spoiling everything!*","3","7.0","7.0","8.0","6.0","5.0"
"Maqluba","I came into this drama without seeing the Taiwanese version and without knowing any of the actors (except for falling for secondary OTP in boys before flowers with KHJ). I have no bias towards KHJ other than the guy sure can make your heart skip a beat when he smiles :)I have to say this drama is a hate/love one for most who watch it and I fall in the LOVE side. The things that bugged me in the first 2 episodes quickly got fixed/removed (like her daydreams) and from then on I was hooked. This drama has a very lighthearted and BASIC story line people so don't expect great turmoil and over the top romance. Its a simple love story that can truly happen..no crazy twists that make you go ""only on TV"".What really hooks me in this drama is the cute/embarrassing moments that happen to Oh Ha Ni that make me cringe and giggle and hide behind my blanket for her sake. I love love that feeling in rom-coms and this drama has so many of them!! Jung So Min plays Oh Ha Ni so perfectly, if it weren't for her I'm sure I wouldn't have continued on with the drama.I love a good drama like everyone else but I love me some silly too and this drama does silly without being stupid-silly (a fine fine line that's usually crossed making me drop a drama). It may seem crazy from our point of view that this girl is non-stop stalking our poor Baek Seung Jo but just when you think she's going too far, she holds back and restrains herself and just when you think she's gonna get over him, he shows her signs of hope and she's back to her obsession again.I know a lot of people seem to hate it for the silliness and some people can't seem to get over the differences in PK versus ISWAK but all I can say is if silly bugs you and if normalcy bugs you then this drama may not be for you. I think its because I like J-dramas so much for the silliness and this drama was supposedly a straight adaptation of a Japanese manga that I am used to and enjoy that silliness. If you didn't like ISWAK don't ignore this drama because I couldn't watch past 4 episodes of ISWAK (I tried so many many times but I can't get over how weak the female character is in that one) and I still love this drama.","3","8.0","8.0","9.0","8.0","10"
"cynthia","I'm gonna be honest and say that this drama was cute, but it's plot was just the same as Mischievous Kiss and every other cheesy drama. I didn't really see their chemistry? Like Hani pissed me off in every episode because she was so weak and dependent. There was no character development except on Seungjo's part. Plus I think Hani's stalking is just downright creepy. I'm wondering if Seungjo ever got a moment of privacy to himself after he met Hani. Overall it was okay but I didn't like it. Seungjo's mom was the only character I enjoyed.","2","4.0","3.0","5.0","6.5","1.0"
"Pincolino","It's one of those series that make your heart beat like crazy. I don't really know why. It wasn't done very well, the male lead was cold (he was supposed to be like that I know), the kisses were stiff, the female lead was stupid and annoying. I never read the manga, didn't watch the anime and I don't feel like watching any other adaption of this story. The special episodes released were pretty stupid too. So why did I like it? Who knows ... It's about falling in love and being hurt by the one you love ... and never giving up on love ... sigh ... somehow it was touching and I started rooting for the girl ...","2","8.0","7.0","7.0","7.0","7.0"
"Giz","Based on reviews of bad chemistry, I avoided this show for a long long time. I watched the thai version over  the others just to get an idea of the craze of this particular story and I am glad I did. The thai version is very diff,this version is for those who want the modern original story.The looks are great,chemistry is good and if u can get past the first few episodes where u feel this is a spoof due to the ott imaginary sequences its worth a watch.","2","8.5","9.0","9.0","5.0","6.5"
"ScarletRingo","The story was intresting, at first....The story didn't move forward at all!!In the beginning I thought that the main girl was OK.She was cute and a bit clumsy. And after 3 ep you just get tired.She was just so annoying!! Her whole character was like a parody of the ""naive but cute girl"". What was the writers thinking?? She was so dumb!Her lack of common sense was amazing...The main guy was just a douche. But his mom was quite sweet.I'm amazed by the acting. They were so good that I hate their characters now.Music? Just meh...I'll never watch this again. Because I know I'll just rage quit half wayOverall? This is the worst drama I've ever seen. If you like torture...I recommend this!","8","4.0","3.0","7.0","4.0","1.0"
"Christina","I watched it because of the manga ,Itazura na kiss (from which I wasn't thrilled )and of course Kim Hyun Joong (Yay oppa).Don't give me wrong it had it's cute and funny moments, but it was a little bit corny, at least for my style .  Though  I would to point out the fact, that it made me laugh in every episode and my oppa was so dreamy (he truly looks like an angel) that I don't regret watching it, but I wouldn't reccomend it easily...","4","7.0","7.0","6.0","6.0","5.0"
"BiyaS","I fell in love with Jung so Min's acting.. she was really cute and did an awesome job .. overall the story is a very cliche one.. if you are into a typical romance drama then this is it.. its funny and has many romantic scenes to die for ;)  though it is not perfect in some ways but i still like it :)","3","9.0","8.0","10","8.0","10"
"kpopx3lover","This drama never bore me to death from the very beginning. Although it did get me irritated because of how Oh Ha Ni followed Baek Seung Jo around. She seemed like a stalker and it got me really irritated but I never stopped watching. As I continued to watch the drama it made me realize that Oh Ha Ni was a much better and stronger person than how she was in the beginning. You can tell that as the drama goes on, the characters change in their own way. Baek Seung Jo who was always cruel and criticized stupid people became more caring and learned to love Ha Ni. Ha Ni who was immature and childish turns into a hardworking and strong person. Even though she was often hurt because of Baek Seung Jo, she would always put on a happy face. She kinda inspired me in a way. In the end *****SPOILER ALERT***** she got into college, got into nursing school, and even got her man. It just shows that working hard pays off. I really loved this drama and it was super duper cute! Best version and one of the best dramas ever! PLAYFUL KISS FIGHTING <3333","3","10","10","10","8.0","9.0"
"dramaholic136","This drama is amazing ...i loved it and i have watched it 3 times till now , i find the story very cute and interesting, first of all i like comedy/romance drama, if you are looking for this sort of drama i think you will love it , i love kim hyun joong/Baek Seung Jo in this drama he is very cool and love his acting and Jung So Min/Oh Ha Ni is very cute who only care for one guy and eventually baek seung jo love her back...","3","10","9.0","10","9.0","6.0"
"Keurinibae","Another one of the very first Korean dramas I watched was this one, and it had me laughing from the start. Perhaps I shouldn't have at times, but the absurdity of some situations for the leads was just too funny to pass up. Kim Hyun Joong was a surprise and welcome male lead.The story itself was interesting to me. The leads couldn't have been more opposite if it killed them, yet the hidden intrigue the male lead seemed to have at having someone that optimistic following him around got me. Regardless of the shenanigans Oh Ha Ni get herself into countless times, and got Baek Seung Jo dragged into as well, her personality and Baek Seung Jo's cool exterior made the show never dull to watch. I have watched Playful Kiss several times over, and will continue to do so because it is one of my favorites.","3","10","10","10","10","10"
"Emmers","At first I kept comparing this to ISWAK, but after awhile I stopped. The feel of the two series is completely different. Both have strengths and weaknesses. No use comparing.I started watching this because after seeing Kim Hyun Joong in Boys Before Flowers I was curious about what he'd be like in other shows. I think I like him a lot better in this. He's a lot less stiff and he smiles more (which makes him even better looking than normal... just wish they had skipped the perm he has in the middle ^_^). I also really liked Jung So Min as Oh Ha Ni. She had great chemistry with her leading man and managed to play the part without getting to the annoying point.I also liked most of the supporting cast. Ha Ni's friends were great. Joon Gu annoyed me at first but got better as the show went on. The parents were a bit over the top at times, but the cute moments made up for it. Seung Jo's little brother was great. And I LOVED the band Bye Bye Sea as Joon Gu's posse. Awesome!Even though the storyline was kinda cheesy and predictable, it was done in an interesting, cute, and funny way. I loved all the little subtle moments with Seung Jo letting his guard down and showing how much he liked Ha Ni. Overall, a really great show! ^_^","3","8.0","8.0","9.0","8.0","7.0"
"shining_stars","well this drama really is great .............hot boys cute girls n everything but if u actually consider it more i would never wanna be a girl who would chase such an arrogant,stubborn,egoistic kind of boy but he had his cute side too if it had been me i would have given way long beforethe music is great the songs are really amazingthe cast is FANTASTIC their acting was great n that is one of the reasons i watched it if u ask me this  is 100 times much better than it started with a kissif ur a romance fan u should really watch it...","6","10","9.0","10","10","8.0"
"kpop0824","this was my first drama ever and i have watched this over 17 times. i love the storyline the plot and the actors","6","10","10","10","10","10"
"Jeana","Have you ever watched something and wondered why you were watching, have the episode end, promptly start the next one and continue to wonder why you're watching it? that's how I was with this show. There were times when the behavior of the characters was just so annoying I wanted to yell at them. I had hopes for this show that never happened. Even though the ending was a happy one, it wasn't a satisfying one.","1","5.0","4.5","4.0","3.5","2.0"
"Divy","This drama is a good watch. I don't think you would regret watching it. So give it a try :)","1","9.5","9.0","9.5","8.0","9.5"
"Fiona","Story- No plot whatsoever, but if I enjoy the story I'll watch it, if you are looking for plot this drama is not right for you. Just a girl living with her crush and hoping for a chance with obstacles along the way.Characters- This is the weakest point of the story. I don't mind if the characters are cold or ignorant, because it makes the story interesting, but NOOOOO this drama lacks development. The protagonist is in a very delusional world, but she is very determined. The guy is similar to a typical Korean Drama Male lead, cold and bad at saying ""I love you and such."" The minor characters are the only good ones.Realism- I added this for people who want a nice realistic and Slice Of Life kind of story. This drama is the MOST UNREALISTIC drama EVER. The girl has a crush like lots of people. But she manages to squeeze through spots that just shows us viewers how we can make it if we try our best. Its a good message but is too much considering her delusional way if thought.Romance- I believe this may be the strongest point of the story, even some of them are just emotionless. But I don't want to give any spoilers.Sound- This is the second strongest point of the drama. The it's is pretty good, light hearted, love, and sad all in the song.Enjoyment- Before I can say anything. I like dramas where I can enjoy something, laugh, and does not care for any plot. This drama ruined it. My enjoyment was mostly frustrated. The girl has no common sense. The minor characters do a better job. The guy apparently has no flaws and is just a piece of paper that's perfect in every way. 1/10This drama is for- People who want a pretty lighthearted and cute drama. And can handle the characters.This drama is NOT for- Slice Of Life people and if you have Second Male Lead syndrome or prefer the nicer guys. Don't watch it.","1","3.5","2.5","2.5","8.0","1.0"
"Rian","I really enjoyed this drama, it was funny, with a lot of silliness and foolish behavior, the story wasn't credible, the series did not portray some romantic real life happenings, but I guess that is why I enjoyed it so much!If you are looking for something relaxing and you're aren't concerned with how a show usually tries to make the story a tad bit credible, than this drama will be to your fancy!The whole script is fairy-tale like, an impenetrable handsome, smart and charming prince and the ugly duckling, silly, baka, but honest and with true innocent love for the prince.If one were to over-think this drama, sure the female character would be considered clingy, a simpleton with no self esteem and will or pride, but the show is not a slice-of-life, it just overly conveys the idea that the characters are fairy tale depictions ( as suggested from the very first few minutes of the show, with her chasing the unicorn).I loved the characters interaction, I loved the lengths to which the female lead went to show her love and support, I really enjoyed the story development and the silly comedy, the supporting cast was extremely good, especially the mother and her 2 best friends, and I loved how the series was just so well rounded, with a great  ending and and awesome character evolution.It isn't a life changing drama, but it gets you to laugh and forget about real life worries, intricate problems or what-nots.","3","8.0","8.0","8.0","7.0","7.0"
"WonByungHoon","The first few minutes when it started were soo cheesy to me I was about to give up then it become normal. Kim hyung joong dint really impress me with his acting he's such a flower boy. Anyways as the drama kept on I was captured by joongs mother and I was hooked. I watched it in two days. The girl was annoying when she kept following him excessively then crying then saying she will move on but doesn't. Boong ju the busan boy was quite an interesting character too. It had many kisses than in normal dramas that have one or two","3","8.0","9.0","8.0","8.0","7.0"
"cookie72","It's a pretty interesting drama.I loved both lead actors.Oh Hani is so cute and funny__I think they're well-suted. I wished the story was longer and see them with a baby.","3","10","10","10","10","10"
"shianne1","i know iv only seen 4 eps but i have copletely fell in love with this drama ! the characters are amazing and so much has already happend for those who want a interesting drama right off the bat this is for you! the comady is amazing and the guys a total jerk but it just makes it that much better. for those who want a relistic drama i would not recomend this the situations are absloutly rediculous but you fall for all the characters almost right way","3","10","9.0","10","8.0","10"
